epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4671,0.54298,1.40049,0.92004,0.99253,0.98807,0.99438,0.92133,0.38431,0.62873,0.7918,0.000553891,0.000553891,0.000553891
2,87.4874,0.54859,0.78911,0.92428,0.99656,0.98618,0.99409,0.91753,0.4064,0.4471,0.80735,0.00109583,0.00109583,0.00109583
3,127.797,0.5336,0.58685,0.91633,0.99689,0.99093,0.99218,0.92896,0.37735,0.37724,0.80769,0.00162401,0.00162401,0.00162401
4,201.569,0.52565,0.50849,0.92174,0.99578,0.98662,0.99246,0.93231,0.36078,0.36979,0.79623,0.00160511,0.00160511,0.00160511
5,281.015,0.4987,0.45622,0.91241,1,0.99157,0.99257,0.94074,0.3371,0.30243,0.79175,0.00158448,0.00158448,0.00158448
6,360.697,0.47152,0.41709,0.89834,0.99931,0.99444,0.99279,0.9437,0.32498,0.29826,0.78794,0.00156385,0.00156385,0.00156385
7,439.567,0.45778,0.39359,0.89451,0.99966,0.98862,0.99484,0.95719,0.30629,0.27729,0.78312,0.00154323,0.00154323,0.00154323
8,518.574,0.4565,0.38243,0.89411,0.99858,0.99077,0.99492,0.95327,0.32039,0.27485,0.7936,0.0015226,0.0015226,0.0015226
9,595.127,0.45427,0.38246,0.89207,0.99945,0.99703,0.995,0.95795,0.30776,0.27296,0.79509,0.00150197,0.00150197,0.00150197
10,670.858,0.43597,0.35901,0.89299,0.99653,0.99167,0.99481,0.95522,0.30392,0.26699,0.78283,0.00148134,0.00148134,0.00148134
11,747.772,0.41448,0.35267,0.88163,0.99926,0.99159,0.99489,0.972,0.27161,0.24718,0.7771,0.00146071,0.00146071,0.00146071
12,821.809,0.40672,0.33008,0.88123,0.99986,0.99382,0.99494,0.97243,0.27067,0.23908,0.77831,0.00144008,0.00144008,0.00144008
13,896.516,0.41228,0.33547,0.88625,0.99847,0.99695,0.995,0.96657,0.29084,0.24385,0.78303,0.00141945,0.00141945,0.00141945
14,971.123,0.4085,0.32939,0.88067,0.99842,0.99167,0.99492,0.96976,0.2797,0.24786,0.7766,0.00139882,0.00139882,0.00139882
15,1046.34,0.39699,0.31916,0.88317,0.99419,0.99694,0.99478,0.97049,0.25746,0.22699,0.77485,0.00137819,0.00137819,0.00137819
16,1121.36,0.39094,0.32326,0.8738,0.99891,0.99921,0.995,0.97949,0.24276,0.22066,0.76504,0.00135756,0.00135756,0.00135756
17,1195.52,0.38587,0.31168,0.87465,0.99854,0.99444,0.99494,0.97674,0.26753,0.23367,0.77811,0.00133693,0.00133693,0.00133693
18,1270.34,0.3869,0.30208,0.87227,0.9987,0.99382,0.99497,0.97011,0.26787,0.22426,0.77644,0.0013163,0.0013163,0.0013163
19,1345.25,0.36789,0.29645,0.87003,0.99386,0.99648,0.99494,0.97645,0.24939,0.22687,0.77472,0.00129568,0.00129568,0.00129568
20,1420.42,0.37221,0.30273,0.86837,0.99486,0.99244,0.99486,0.98381,0.22912,0.21511,0.76059,0.00127505,0.00127505,0.00127505
21,1494.93,0.35156,0.28908,0.86695,0.99915,0.99961,0.995,0.97946,0.23987,0.2086,0.77208,0.00125442,0.00125442,0.00125442
22,1569.31,0.36344,0.29163,0.86338,0.99955,1,0.995,0.97833,0.23771,0.20475,0.77265,0.00123379,0.00123379,0.00123379
